;Datum;von;bis;MW
Maximum;11.11.2013;17:00;17:15;9929
;Datum;von;bis;MW
Minimum;24.12.2013;01:45;02:00;-3282

Datum;Uhrzeit;;Wert
01.01.2013;13:45;14:00;150
01.01.2013;14:00;14:15;335
01.01.2013;14:15;14:30;497
01.01.2013;14:30;14:45;775
01.01.2013;14:45;15:00;968
01.01.2013;15:00;15:15;1230
01.01.2013;15:15;15:30;1566
01.01.2013;15:30;15:45;1697
01.01.2013;15:45;16:00;1744
01.01.2013;16:00;16:15;1899
01.01.2013;16:15;16:30;2227
01.01.2013;16:30;16:45;2522
01.01.2013;16:45;17:00;2685
01.01.2013;17:00;17:15;2712
01.01.2013;17:15;17:30;2884
01.01.2013;17:30;17:45;2978
01.01.2013;17:45;18:00;2971
01.01.2013;18:00;18:15;3205
01.01.2013;18:15;18:30;3248
01.01.2013;18:30;18:45;3259
01.01.2013;18:45;19:00;3148
01.01.2013;19:00;19:15;3086
01.01.2013;19:15;19:30;3109
01.01.2013;19:30;19:45;2955
01.01.2013;19:45;20:00;2669
01.01.2013;20:00;20:15;2588
01.01.2013;20:15;20:30;2507
01.01.2013;20:30;20:45;2308
01.01.2013;20:45;21:00;2193
01.01.2013;21:00;21:15;2042
01.01.2013;21:15;21:30;2053
01.01.2013;21:30;21:45;2062
01.01.2013;21:45;22:00;2257
01.01.2013;22:00;22:15;2368
01.01.2013;22:15;22:30;2351
01.01.2013;22:30;22:45;2247
01.01.2013;22:45;23:00;1952
01.01.2013;23:00;23:15;1791
01.01.2013;23:15;23:30;1668
01.01.2013;23:30;23:45;1549
01.01.2013;23:45;24:00;1466
02.01.2013;00:00;00:15;1415
02.01.2013;00:15;00:30;1339
02.01.2013;00:30;00:45;1214
02.01.2013;00:45;01:00;1054
02.01.2013;01:00;01:15;920
02.01.2013;01:15;01:30;845
02.01.2013;01:30;01:45;779
02.01.2013;01:45;02:00;725
02.01.2013;02:00;02:15;708
02.01.2013;02:15;02:30;791
02.01.2013;02:30;02:45;762
02.01.2013;02:45;03:00;814
02.01.2013;03:00;03:15;778
02.01.2013;03:15;03:30;826
02.01.2013;03:30;03:45;722
02.01.2013;03:45;04:00;662
02.01.2013;04:00;04:15;737
02.01.2013;04:15;04:30;749
02.01.2013;04:30;04:45;738
02.01.2013;04:45;05:00;780
02.01.2013;05:00;05:15;893
02.01.2013;05:15;05:30;831
02.01.2013;05:30;05:45;779
02.01.2013;05:45;06:00;718
02.01.2013;06:00;06:15;842
02.01.2013;06:15;06:30;953
02.01.2013;06:30;06:45;1049
02.01.2013;06:45;07:00;1265
02.01.2013;07:00;07:15;1556
02.01.2013;07:15;07:30;1786
02.01.2013;07:30;07:45;1991
02.01.2013;07:45;08:00;2265
02.01.2013;08:00;08:15;2370
02.01.2013;08:15;08:30;2485
02.01.2013;08:30;08:45;2534
02.01.2013;08:45;09:00;2758
02.01.2013;09:00;09:15;2852
02.01.2013;09:15;09:30;2866
02.01.2013;09:30;09:45;2915
02.01.2013;09:45;10:00;2973
02.01.2013;10:00;10:15;2931
02.01.2013;10:15;10:30;2869
02.01.2013;10:30;10:45;2809
02.01.2013;10:45;11:00;2822
02.01.2013;11:00;11:15;2754
02.01.2013;11:15;11:30;2697
02.01.2013;11:30;11:45;2688
02.01.2013;11:45;12:00;2794
02.01.2013;12:00;12:15;2719
02.01.2013;12:15;12:30;2686
02.01.2013;12:30;12:45;2652
02.01.2013;12:45;13:00;2599
02.01.2013;13:00;13:15;2707
02.01.2013;13:15;13:30;2775
02.01.2013;13:30;13:45;2898
02.01.2013;13:45;14:00;2925
02.01.2013;14:00;14:15;3223
02.01.2013;14:15;14:30;3463
02.01.2013;14:30;14:45;3537
02.01.2013;14:45;15:00;3653
02.01.2013;15:00;15:15;3789
02.01.2013;15:15;15:30;3770
02.01.2013;15:30;15:45;3827
02.01.2013;15:45;16:00;4115
02.01.2013;16:00;16:15;4453
02.01.2013;16:15;16:30;4507
02.01.2013;16:30;16:45;4686
02.01.2013;16:45;17:00;4884
02.01.2013;17:00;17:15;5034
02.01.2013;17:15;17:30;4991
02.01.2013;17:30;17:45;4999
02.01.2013;17:45;18:00;5075
02.01.2013;18:00;18:15;4971
02.01.2013;18:15;18:30;4832
02.01.2013;18:30;18:45;4843
02.01.2013;18:45;19:00;4763
02.01.2013;19:00;19:15;4607
02.01.2013;19:15;19:30;4554
02.01.2013;19:30;19:45;4383
02.01.2013;19:45;20:00;4191
02.01.2013;20:00;20:15;4158
02.01.2013;20:15;20:30;3904
02.01.2013;20:30;20:45;3705
02.01.2013;20:45;21:00;3554
02.01.2013;21:00;21:15;3177
02.01.2013;21:15;21:30;2982
02.01.2013;21:30;21:45;2839
02.01.2013;21:45;22:00;2808
02.01.2013;22:00;22:15;2747
02.01.2013;22:15;22:30;2589
02.01.2013;22:30;22:45;2416
02.01.2013;22:45;23:00;2167
02.01.2013;23:00;23:15;1924
02.01.2013;23:15;23:30;1591
02.01.2013;23:30;23:45;1468
02.01.2013;23:45;24:00;1223
03.01.2013;00:00;00:15;920
03.01.2013;00:15;00:30;693
03.01.2013;00:30;00:45;559
03.01.2013;00:45;01:00;401
03.01.2013;01:00;01:15;334
03.01.2013;01:15;01:30;216
03.01.2013;01:30;01:45;66
03.01.2013;01:45;02:00;25
03.01.2013;02:00;02:15;-62
03.01.2013;02:15;02:30;-68
03.01.2013;02:30;02:45;-302
03.01.2013;02:45;03:00;-252
03.01.2013;03:00;03:15;-302
03.01.2013;03:15;03:30;-398
03.01.2013;03:30;03:45;-586
03.01.2013;03:45;04:00;-537
03.01.2013;04:00;04:15;-572
03.01.2013;04:15;04:30;-680
03.01.2013;04:30;04:45;-850
03.01.2013;04:45;05:00;-842
03.01.2013;05:00;05:15;-856
03.01.2013;05:15;05:30;-768
03.01.2013;05:30;05:45;-864
03.01.2013;05:45;06:00;-785
03.01.2013;06:00;06:15;-630
03.01.2013;06:15;06:30;-353
03.01.2013;06:30;06:45;-286
03.01.2013;06:45;07:00;-51
03.01.2013;07:00;07:15;-53
03.01.2013;07:15;07:30;247
03.01.2013;07:30;07:45;444
03.01.2013;07:45;08:00;614
03.01.2013;08:00;08:15;649
03.01.2013;08:15;08:30;594
03.01.2013;08:30;08:45;668
03.01.2013;08:45;09:00;784
03.01.2013;09:00;09:15;732
03.01.2013;09:15;09:30;810
03.01.2013;09:30;09:45;895
03.01.2013;09:45;10:00;937
03.01.2013;10:00;10:15;1002
03.01.2013;10:15;10:30;1133
03.01.2013;10:30;10:45;1157
03.01.2013;10:45;11:00;1257
03.01.2013;11:00;11:15;1370
03.01.2013;11:15;11:30;1420
03.01.2013;11:30;11:45;1501
03.01.2013;11:45;12:00;1447
03.01.2013;12:00;12:15;1393
03.01.2013;12:15;12:30;1368
03.01.2013;12:30;12:45;1390
03.01.2013;12:45;13:00;1369
03.01.2013;13:00;13:15;1339
03.01.2013;13:15;13:30;1267
03.01.2013;13:30;13:45;1228
03.01.2013;13:45;14:00;1140
03.01.2013;14:00;14:15;1106
03.01.2013;14:15;14:30;1255
03.01.2013;14:30;14:45;1276
03.01.2013;14:45;15:00;1234
03.01.2013;15:00;15:15;1204
03.01.2013;15:15;15:30;1213
03.01.2013;15:30;15:45;1191
03.01.2013;15:45;16:00;1189
03.01.2013;16:00;16:15;1420
03.01.2013;16:15;16:30;1511
03.01.2013;16:30;16:45;1695
03.01.2013;16:45;17:00;1741
03.01.2013;17:00;17:15;1813
03.01.2013;17:15;17:30;1907
03.01.2013;17:30;17:45;1931
03.01.2013;17:45;18:00;1917
03.01.2013;18:00;18:15;1861
03.01.2013;18:15;18:30;1674
03.01.2013;18:30;18:45;1607
03.01.2013;18:45;19:00;1606
03.01.2013;19:00;19:15;1485
03.01.2013;19:15;19:30;1345
03.01.2013;19:30;19:45;1333
03.01.2013;19:45;20:00;1334
03.01.2013;20:00;20:15;1122
03.01.2013;20:15;20:30;868
03.01.2013;20:30;20:45;614
03.01.2013;20:45;21:00;569
03.01.2013;21:00;21:15;485
03.01.2013;21:15;21:30;299
03.01.2013;21:30;21:45;195
03.01.2013;21:45;22:00;347
03.01.2013;22:00;22:15;585
03.01.2013;22:15;22:30;455
03.01.2013;22:30;22:45;-47
03.01.2013;22:45;23:00;-286
03.01.2013;23:00;23:15;-353
03.01.2013;23:15;23:30;-633
03.01.2013;23:30;23:45;-801
03.01.2013;23:45;24:00;-811
04.01.2013;00:00;00:15;-1011
04.01.2013;00:15;00:30;-967
04.01.2013;00:30;00:45;-884
04.01.2013;00:45;01:00;-820
04.01.2013;01:00;01:15;-1001
04.01.2013;01:15;01:30;-1131
04.01.2013;01:30;01:45;-1290
04.01.2013;01:45;02:00;-1212
04.01.2013;02:00;02:15;-1156
04.01.2013;02:15;02:30;-1221
04.01.2013;02:30;02:45;-1262
04.01.2013;02:45;03:00;-1076
04.01.2013;03:00;03:15;-926
04.01.2013;03:15;03:30;-855
04.01.2013;03:30;03:45;-717
04.01.2013;03:45;04:00;-641
04.01.2013;04:00;04:15;-420
04.01.2013;04:15;04:30;-250
04.01.2013;04:30;04:45;-13
04.01.2013;04:45;05:00;100
04.01.2013;05:00;05:15;215
04.01.2013;05:15;05:30;500
04.01.2013;05:30;05:45;694
04.01.2013;05:45;06:00;784
04.01.2013;06:00;06:15;842
04.01.2013;06:15;06:30;1219
04.01.2013;06:30;06:45;1601
04.01.2013;06:45;07:00;1876
04.01.2013;07:00;07:15;2104
04.01.2013;07:15;07:30;2172
04.01.2013;07:30;07:45;2529
04.01.2013;07:45;08:00;2698
04.01.2013;08:00;08:15;2973
04.01.2013;08:15;08:30;3071
04.01.2013;08:30;08:45;3257
04.01.2013;08:45;09:00;3450
04.01.2013;09:00;09:15;3605
04.01.2013;09:15;09:30;3730
04.01.2013;09:30;09:45;3770
04.01.2013;09:45;10:00;4008
04.01.2013;10:00;10:15;4126
04.01.2013;10:15;10:30;4320
04.01.2013;10:30;10:45;4414
04.01.2013;10:45;11:00;4522
04.01.2013;11:00;11:15;4693
04.01.2013;11:15;11:30;4858
04.01.2013;11:30;11:45;4779
04.01.2013;11:45;12:00;4703
04.01.2013;12:00;12:15;4582
04.01.2013;12:15;12:30;4379
04.01.2013;12:30;12:45;3946
04.01.2013;12:45;13:00;3568
04.01.2013;13:00;13:15;3343
04.01.2013;13:15;13:30;2969
04.01.2013;13:30;13:45;2551
04.01.2013;13:45;14:00;2262
04.01.2013;14:00;14:15;2001
04.01.2013;14:15;14:30;1849
04.01.2013;14:30;14:45;1615
04.01.2013;14:45;15:00;1373
04.01.2013;15:00;15:15;1182
04.01.2013;15:15;15:30;956
04.01.2013;15:30;15:45;885
04.01.2013;15:45;16:00;936
04.01.2013;16:00;16:15;832
04.01.2013;16:15;16:30;931
04.01.2013;16:30;16:45;1077
04.01.2013;16:45;17:00;1088
04.01.2013;17:00;17:15;1040
04.01.2013;17:15;17:30;1087
04.01.2013;17:30;17:45;1166
04.01.2013;17:45;18:00;1175
04.01.2013;18:00;18:15;1109
04.01.2013;18:15;18:30;1163
04.01.2013;18:30;18:45;1095
04.01.2013;18:45;19:00;1103
04.01.2013;19:00;19:15;1075
04.01.2013;19:15;19:30;1090
04.01.2013;19:30;19:45;1066
04.01.2013;19:45;20:00;1031
04.01.2013;20:00;20:15;868
04.01.2013;20:15;20:30;686
04.01.2013;20:30;20:45;417
04.01.2013;20:45;21:00;249
04.01.2013;21:00;21:15;-60
04.01.2013;21:15;21:30;-170
04.01.2013;21:30;21:45;-309
04.01.2013;21:45;22:00;-364
04.01.2013;22:00;22:15;-346
04.01.2013;22:15;22:30;-393
04.01.2013;22:30;22:45;-277
04.01.2013;22:45;23:00;-526
04.01.2013;23:00;23:15;-552
04.01.2013;23:15;23:30;-753
04.01.2013;23:30;23:45;-643
04.01.2013;23:45;24:00;-845
05.01.2013;00:00;00:15;-893
05.01.2013;00:15;00:30;-825
05.01.2013;00:30;00:45;-943
05.01.2013;00:45;01:00;-917
05.01.2013;01:00;01:15;-871
05.01.2013;01:15;01:30;-789
05.01.2013;01:30;01:45;-655
05.01.2013;01:45;02:00;-642
05.01.2013;02:00;02:15;-419
05.01.2013;02:15;02:30;-260
05.01.2013;02:30;02:45;-232
05.01.2013;02:45;03:00;-110
05.01.2013;03:00;03:15;123
05.01.2013;03:15;03:30;254
05.01.2013;03:30;03:45;270
05.01.2013;03:45;04:00;532
05.01.2013;04:00;04:15;663
05.01.2013;04:15;04:30;804
05.01.2013;04:30;04:45;679
05.01.2013;04:45;05:00;827
05.01.2013;05:00;05:15;1004
05.01.2013;05:15;05:30;1085
05.01.2013;05:30;05:45;967
05.01.2013;05:45;06:00;891
05.01.2013;06:00;06:15;1015
05.01.2013;06:15;06:30;1080
05.01.2013;06:30;06:45;1219
05.01.2013;06:45;07:00;1486
05.01.2013;07:00;07:15;1851
05.01.2013;07:15;07:30;2073
05.01.2013;07:30;07:45;2340
05.01.2013;07:45;08:00;2678
05.01.2013;08:00;08:15;2884
05.01.2013;08:15;08:30;3195
05.01.2013;08:30;08:45;3327
05.01.2013;08:45;09:00;3591
05.01.2013;09:00;09:15;3917
05.01.2013;09:15;09:30;4159
05.01.2013;09:30;09:45;4351
05.01.2013;09:45;10:00;4462
05.01.2013;10:00;10:15;4732
05.01.2013;10:15;10:30;4895
05.01.2013;10:30;10:45;5072
05.01.2013;10:45;11:00;5169
05.01.2013;11:00;11:15;5474
05.01.2013;11:15;11:30;5719
05.01.2013;11:30;11:45;5977
05.01.2013;11:45;12:00;6101
05.01.2013;12:00;12:15;6097
05.01.2013;12:15;12:30;6001
05.01.2013;12:30;12:45;5858
05.01.2013;12:45;13:00;5851
05.01.2013;13:00;13:15;5976
05.01.2013;13:15;13:30;5857
05.01.2013;13:30;13:45;5809
05.01.2013;13:45;14:00;5655
05.01.2013;14:00;14:15;5765
05.01.2013;14:15;14:30;5803
05.01.2013;14:30;14:45;5831
05.01.2013;14:45;15:00;5795
05.01.2013;15:00;15:15;6000
05.01.2013;15:15;15:30;6078
05.01.2013;15:30;15:45;6132
05.01.2013;15:45;16:00;6217
05.01.2013;16:00;16:15;6282
05.01.2013;16:15;16:30;6517
05.01.2013;16:30;16:45;6782
05.01.2013;16:45;17:00;6862
05.01.2013;17:00;17:15;6921
05.01.2013;17:15;17:30;7012
05.01.2013;17:30;17:45;7135
05.01.2013;17:45;18:00;7125
05.01.2013;18:00;18:15;7154
05.01.2013;18:15;18:30;7007
05.01.2013;18:30;18:45;7138
05.01.2013;18:45;19:00;7049
05.01.2013;19:00;19:15;6977
05.01.2013;19:15;19:30;6832
05.01.2013;19:30;19:45;6844
05.01.2013;19:45;20:00;6626
05.01.2013;20:00;20:15;6528
05.01.2013;20:15;20:30;6246
05.01.2013;20:30;20:45;6088
05.01.2013;20:45;21:00;6043
05.01.2013;21:00;21:15;5911
05.01.2013;21:15;21:30;5855
05.01.2013;21:30;21:45;5868
05.01.2013;21:45;22:00;5856
05.01.2013;22:00;22:15;5842
05.01.2013;22:15;22:30;5756
05.01.2013;22:30;22:45;5654
05.01.2013;22:45;23:00;5442
05.01.2013;23:00;23:15;5241
05.01.2013;23:15;23:30;4953
05.01.2013;23:30;23:45;4694
05.01.2013;23:45;24:00;4471
06.01.2013;00:00;00:15;4099
06.01.2013;00:15;00:30;3788
06.01.2013;00:30;00:45;3455
06.01.2013;00:45;01:00;3280
06.01.2013;01:00;01:15;2984
06.01.2013;01:15;01:30;2795
06.01.2013;01:30;01:45;2703
06.01.2013;01:45;02:00;2617
06.01.2013;02:00;02:15;2438
06.01.2013;02:15;02:30;2460
06.01.2013;02:30;02:45;2619
06.01.2013;02:45;03:00;2707
06.01.2013;03:00;03:15;2864
06.01.2013;03:15;03:30;3032
06.01.2013;03:30;03:45;3089
06.01.2013;03:45;04:00;3096
06.01.2013;04:00;04:15;3120
06.01.2013;04:15;04:30;3079
06.01.2013;04:30;04:45;2874
06.01.2013;04:45;05:00;2881
06.01.2013;05:00;05:15;2686
06.01.2013;05:15;05:30;2702
06.01.2013;05:30;05:45;2425
06.01.2013;05:45;06:00;2164
06.01.2013;06:00;06:15;2045
06.01.2013;06:15;06:30;2084
06.01.2013;06:30;06:45;2069
06.01.2013;06:45;07:00;1977
06.01.2013;07:00;07:15;1944
06.01.2013;07:15;07:30;2093
06.01.2013;07:30;07:45;2314
06.01.2013;07:45;08:00;2522
06.01.2013;08:00;08:15;2667
06.01.2013;08:15;08:30;2798
06.01.2013;08:30;08:45;2812
06.01.2013;08:45;09:00;2841
06.01.2013;09:00;09:15;2908
06.01.2013;09:15;09:30;3097
06.01.2013;09:30;09:45;3133
06.01.2013;09:45;10:00;3129
06.01.2013;10:00;10:15;3167
06.01.2013;10:15;10:30;3359
06.01.2013;10:30;10:45;3417
06.01.2013;10:45;11:00;3550
06.01.2013;11:00;11:15;3532
06.01.2013;11:15;11:30;3706
06.01.2013;11:30;11:45;3809
06.01.2013;11:45;12:00;3665
06.01.2013;12:00;12:15;3461
06.01.2013;12:15;12:30;3288
06.01.2013;12:30;12:45;3195
06.01.2013;12:45;13:00;2907
06.01.2013;13:00;13:15;2737
06.01.2013;13:15;13:30;2578
06.01.2013;13:30;13:45;2439
06.01.2013;13:45;14:00;2344
06.01.2013;14:00;14:15;2371
06.01.2013;14:15;14:30;2506
06.01.2013;14:30;14:45;2550
06.01.2013;14:45;15:00;2694
06.01.2013;15:00;15:15;2671
06.01.2013;15:15;15:30;2787
06.01.2013;15:30;15:45;2875
06.01.2013;15:45;16:00;2977
06.01.2013;16:00;16:15;3057
06.01.2013;16:15;16:30;3320
06.01.2013;16:30;16:45;3653
06.01.2013;16:45;17:00;3949
06.01.2013;17:00;17:15;4052
06.01.2013;17:15;17:30;4068
06.01.2013;17:30;17:45;4271
06.01.2013;17:45;18:00;4454
06.01.2013;18:00;18:15;4646
06.01.2013;18:15;18:30;4519
06.01.2013;18:30;18:45;4795
06.01.2013;18:45;19:00;4733
06.01.2013;19:00;19:15;4779
06.01.2013;19:15;19:30;4668
06.01.2013;19:30;19:45;4747
06.01.2013;19:45;20:00;4594
06.01.2013;20:00;20:15;4556
06.01.2013;20:15;20:30;4316
06.01.2013;20:30;20:45;4329
06.01.2013;20:45;21:00;4261
06.01.2013;21:00;21:15;4186
06.01.2013;21:15;21:30;4081
06.01.2013;21:30;21:45;4168
06.01.2013;21:45;22:00;4366
06.01.2013;22:00;22:15;4558
06.01.2013;22:15;22:30;4374
06.01.2013;22:30;22:45;4279
06.01.2013;22:45;23:00;4167
06.01.2013;23:00;23:15;3880
06.01.2013;23:15;23:30;3558
06.01.2013;23:30;23:45;3579
06.01.2013;23:45;24:00;3380
07.01.2013;00:00;00:15;3255
07.01.2013;00:15;00:30;3023
07.01.2013;00:30;00:45;3033
07.01.2013;00:45;01:00;2906
07.01.2013;01:00;01:15;2980
07.01.2013;01:15;01:30;2918
07.01.2013;01:30;01:45;3111
07.01.2013;01:45;02:00;3169
07.01.2013;02:00;02:15;3235
07.01.2013;02:15;02:30;3306
07.01.2013;02:30;02:45;3435
07.01.2013;02:45;03:00;3567
07.01.2013;03:00;03:15;3617
07.01.2013;03:15;03:30;3759
07.01.2013;03:30;03:45;3772
07.01.2013;03:45;04:00;3901
07.01.2013;04:00;04:15;4081
07.01.2013;04:15;04:30;4241
07.01.2013;04:30;04:45;4472
07.01.2013;04:45;05:00;4670
07.01.2013;05:00;05:15;5055
07.01.2013;05:15;05:30;5161
07.01.2013;05:30;05:45;5403
07.01.2013;05:45;06:00;5651
07.01.2013;06:00;06:15;5977
07.01.2013;06:15;06:30;6334
07.01.2013;06:30;06:45;6732
07.01.2013;06:45;07:00;7219
07.01.2013;07:00;07:15;7539
07.01.2013;07:15;07:30;7939
07.01.2013;07:30;07:45;8102
07.01.2013;07:45;08:00;8318
07.01.2013;08:00;08:15;8316
07.01.2013;08:15;08:30;8334
07.01.2013;08:30;08:45;8307
07.01.2013;08:45;09:00;8269
07.01.2013;09:00;09:15;8415
07.01.2013;09:15;09:30;8483
07.01.2013;09:30;09:45;8547
07.01.2013;09:45;10:00;8544
07.01.2013;10:00;10:15;8566
07.01.2013;10:15;10:30;8575
07.01.2013;10:30;10:45;8490
07.01.2013;10:45;11:00;8491
07.01.2013;11:00;11:15;8699
07.01.2013;11:15;11:30;8769
07.01.2013;11:30;11:45;8751
07.01.2013;11:45;12:00;8661
07.01.2013;12:00;12:15;8507
07.01.2013;12:15;12:30;8428
07.01.2013;12:30;12:45;8492
07.01.2013;12:45;13:00;8462
07.01.2013;13:00;13:15;8416
07.01.2013;13:15;13:30;8386
07.01.2013;13:30;13:45;8403
07.01.2013;13:45;14:00;8309
07.01.2013;14:00;14:15;8318
07.01.2013;14:15;14:30;8439
07.01.2013;14:30;14:45;8454
07.01.2013;14:45;15:00;8521
07.01.2013;15:00;15:15;8515
07.01.2013;15:15;15:30;8626
07.01.2013;15:30;15:45;8600
07.01.2013;15:45;16:00;8535
07.01.2013;16:00;16:15;8547
07.01.2013;16:15;16:30;8702
07.01.2013;16:30;16:45;8798
07.01.2013;16:45;17:00;8899
07.01.2013;17:00;17:15;8902
07.01.2013;17:15;17:30;8881
07.01.2013;17:30;17:45;8849
07.01.2013;17:45;18:00;8810
07.01.2013;18:00;18:15;8731
07.01.2013;18:15;18:30;8606
07.01.2013;18:30;18:45;8627
07.01.2013;18:45;19:00;8565
07.01.2013;19:00;19:15;8611
07.01.2013;19:15;19:30;8612
07.01.2013;19:30;19:45;8438
07.01.2013;19:45;20:00;8548
07.01.2013;20:00;20:15;8579
07.01.2013;20:15;20:30;8222
07.01.2013;20:30;20:45;7839
07.01.2013;20:45;21:00;7615
07.01.2013;21:00;21:15;7418
07.01.2013;21:15;21:30;7231
07.01.2013;21:30;21:45;7045
07.01.2013;21:45;22:00;6946
07.01.2013;22:00;22:15;6835
07.01.2013;22:15;22:30;6763
07.01.2013;22:30;22:45;6533
07.01.2013;22:45;23:00;6326
07.01.2013;23:00;23:15;5950
07.01.2013;23:15;23:30;5875
07.01.2013;23:30;23:45;5717
07.01.2013;23:45;24:00;5497
08.01.2013;00:00;00:15;5281
08.01.2013;00:15;00:30;5235
08.01.2013;00:30;00:45;5059
08.01.2013;00:45;01:00;4938
08.01.2013;01:00;01:15;4869
08.01.2013;01:15;01:30;4853
08.01.2013;01:30;01:45;4713
08.01.2013;01:45;02:00;4758
08.01.2013;02:00;02:15;4592
08.01.2013;02:15;02:30;4625
08.01.2013;02:30;02:45;4643
08.01.2013;02:45;03:00;4685
08.01.2013;03:00;03:15;4701
08.01.2013;03:15;03:30;4881
08.01.2013;03:30;03:45;4867
08.01.2013;03:45;04:00;4866
08.01.2013;04:00;04:15;4970
08.01.2013;04:15;04:30;5085
08.01.2013;04:30;04:45;5197
08.01.2013;04:45;05:00;5262
08.01.2013;05:00;05:15;5460
08.01.2013;05:15;05:30;5497
08.01.2013;05:30;05:45;5621
08.01.2013;05:45;06:00;5670
08.01.2013;06:00;06:15;5917
08.01.2013;06:15;06:30;6360
08.01.2013;06:30;06:45;6721
08.01.2013;06:45;07:00;7068
08.01.2013;07:00;07:15;7472
08.01.2013;07:15;07:30;7651
08.01.2013;07:30;07:45;7979
08.01.2013;07:45;08:00;7993
08.01.2013;08:00;08:15;7963
08.01.2013;08:15;08:30;7999
08.01.2013;08:30;08:45;7860
08.01.2013;08:45;09:00;7831
08.01.2013;09:00;09:15;7513
08.01.2013;09:15;09:30;7549
08.01.2013;09:30;09:45;7523
08.01.2013;09:45;10:00;7491
08.01.2013;10:00;10:15;7594
08.01.2013;10:15;10:30;7628
08.01.2013;10:30;10:45;7621
08.01.2013;10:45;11:00;7615
08.01.2013;11:00;11:15;7712
08.01.2013;11:15;11:30;7789
08.01.2013;11:30;11:45;7722
08.01.2013;11:45;12:00;7536
08.01.2013;12:00;12:15;7388
08.01.2013;12:15;12:30;7264
08.01.2013;12:30;12:45;7103
08.01.2013;12:45;13:00;6953
08.01.2013;13:00;13:15;7203
08.01.2013;13:15;13:30;7148
08.01.2013;13:30;13:45;7104
08.01.2013;13:45;14:00;7018
08.01.2013;14:00;14:15;7237
08.01.2013;14:15;14:30;7287
08.01.2013;14:30;14:45;7260
08.01.2013;14:45;15:00;7189
08.01.2013;15:00;15:15;7270
08.01.2013;15:15;15:30;7276
08.01.2013;15:30;15:45;7280
08.01.2013;15:45;16:00;7241
08.01.2013;16:00;16:15;7243
08.01.2013;16:15;16:30;7357
08.01.2013;16:30;16:45;7476
08.01.2013;16:45;17:00;7697
08.01.2013;17:00;17:15;7698
08.01.2013;17:15;17:30;7772
08.01.2013;17:30;17:45;7912
08.01.2013;17:45;18:00;8000
08.01.2013;18:00;18:15;7985
08.01.2013;18:15;18:30;8058
08.01.2013;18:30;18:45;7977
08.01.2013;18:45;19:00;7885
08.01.2013;19:00;19:15;7950
08.01.2013;19:15;19:30;7825
08.01.2013;19:30;19:45;7687
08.01.2013;19:45;20:00;7778
08.01.2013;20:00;20:15;7692
08.01.2013;20:15;20:30;7461
08.01.2013;20:30;20:45;7148
08.01.2013;20:45;21:00;6991
08.01.2013;21:00;21:15;6871
08.01.2013;21:15;21:30;6707
08.01.2013;21:30;21:45;6579
08.01.2013;21:45;22:00;6503
08.01.2013;22:00;22:15;6534
08.01.2013;22:15;22:30;6564
08.01.2013;22:30;22:45;6385
08.01.2013;22:45;23:00;5980
08.01.2013;23:00;23:15;5729
08.01.2013;23:15;23:30;5653
08.01.2013;23:30;23:45;5476
08.01.2013;23:45;24:00;5353
